File,Source_Contract,Source_Function,Target_Contract,Chain
WETH9Mock.sol,WETH9Mock,mint,WETH9Mock,onlyOwner
WETH9Mock.sol,WETH9Mock,mint,None,Transfer
MockBadTransferStrategy.sol,MockBadTransferStrategy,constructor,MockBadTransferStrategy,No Chain
MockBadTransferStrategy.sol,MockBadTransferStrategy,performTransfer,MockBadTransferStrategy,onlyIncentivesController
MockParaSwapTokenTransferProxy.sol,MockParaSwapTokenTransferProxy,transferFrom,MockParaSwapTokenTransferProxy,onlyOwner
MockParaSwapAugustus.sol,MockParaSwapAugustus,swap,MockParaSwapAugustus,No chain
MockParaSwapAugustus.sol,MockParaSwapAugustus,swap,MockParaSwapAugustus,No chain
MockParaSwapAugustus.sol,MockParaSwapAugustus,swap,MockParaSwapAugustus,No chain
MockParaSwapAugustus.sol,MockParaSwapAugustus,buy,MockParaSwapAugustus,No chain
MockParaSwapAugustus.sol,MockParaSwapAugustus,buy,MockParaSwapAugustus,No chain
MockParaSwapAugustus.sol,MockParaSwapAugustus,buy,MockParaSwapAugustus,No chain
TestnetERC20.sol,TestnetERC20,constructor,TestnetERC20,No chain
TestnetERC20.sol,TestnetERC20,mint,TestnetERC20,onlyOwner
TestnetERC20.sol,TestnetERC20,mint,TestnetERC20,onlyOwner
Faucet.sol,Faucet,mint,Faucet,onlyOwnerIfPermissioned
Faucet.sol,Faucet,setPermissioned,Faucet,onlyOwner
Faucet.sol,Faucet,setMintable,Faucet,onlyOwner
Faucet.sol,Faucet,transferOwnershipOfChild,Faucet,onlyOwner
WrappedTokenGatewayV3.sol,WrappedTokenGatewayV3,withdrawETH,WrappedTokenGatewayV3,No chain
WrappedTokenGatewayV3.sol,WrappedTokenGatewayV3,withdrawETH,WrappedTokenGatewayV3,No chain
WrappedTokenGatewayV3.sol,WrappedTokenGatewayV3,withdrawETH,WrappedTokenGatewayV3,No chain
WrappedTokenGatewayV3.sol,WrappedTokenGatewayV3,withdrawETH,WrappedTokenGatewayV3,No chain
WrappedTokenGatewayV3.sol,WrappedTokenGatewayV3,withdrawETH,WrappedTokenGatewayV3,No chain
