File,Source_Contract,Source_Function,Target_Contract,Chain
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
AxieCore.sol,AxieCore,getAxie,AxieCore,mustBeValidToken
AxieCore.sol,AxieCore,spawnAxie,AxieCore,onlySpawner
AxieCore.sol,AxieCore,spawnAxie,AxieCore,whenSpawningAllowed
AxieCore.sol,AxieCore,rebirthAxie,AxieCore,onlySpawner
AxieCore.sol,AxieCore,rebirthAxie,AxieCore,mustBeValidToken
AxieCore.sol,AxieCore,rebirthAxie,AxieCore,whenRebirthAllowed
AxieCore.sol,AxieCore,retireAxie,AxieCore,onlyByeSayer
AxieCore.sol,AxieCore,retireAxie,AxieCore,whenRetirementAllowed
AxieCore.sol,AxieCore,evolveAxie,AxieCore,onlyGeneScientist
AxieCore.sol,AxieCore,evolveAxie,AxieCore,mustBeValidToken
AxieCore.sol,AxieCore,evolveAxie,AxieCore,whenEvolvementAllowed
AxieAccessControl.sol,AxieAccessControl,setCEO,AxieAccessControl,onlyCEO
AxieAccessControl.sol,AxieAccessControl,setCFO,AxieAccessControl,onlyCEO
AxieAccessControl.sol,AxieAccessControl,setCOO,AxieAccessControl,onlyCEO
AxieAccessControl.sol,AxieAccessControl,withdrawBalance,AxieAccessControl,No chain
AxieAccessControl.sol,AxieAccessControl,withdrawBalance,AxieAccessControl,No chain
AxieAccessControl.sol,AxieAccessControl,withdrawBalance,AxieAccessControl,No chain
AxieAccessControl.sol,AxieAccessControl,withdrawBalance,AxieAccessControl,onlyCFO
AxiePausable.sol,AxiePausable,pause,AxiePausable,onlyCLevel
AxiePausable.sol,AxiePausable,pause,AxiePausable,whenNotPaused
AxiePausable.sol,AxiePausable,unpause,AxiePausable,onlyCEO
AxiePausable.sol,AxiePausable,unpause,AxiePausable,whenPaused
AxieUpgradeable.sol,AxieUpgradeable,setNewAddress,AxieUpgradeable,onlyCEO
AxieUpgradeable.sol,AxieUpgradeable,setNewAddress,AxieUpgradeable,whenPaused
AxieUpgradeable.sol,AxieUpgradeable,unpause,AxieUpgradeable,onlyCEO
AxieUpgradeable.sol,AxieUpgradeable,unpause,AxieUpgradeable,whenPaused
AxieManagerCustomizable.sol,AxieManagerCustomizable,setAllowAll,AxieManagerCustomizable,onlyOwner
AxieDependency.sol,AxieDependency,setWhitelistSetter,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setSpawningManager,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setRetirementManager,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setMarketplaceManager,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setGeneManager,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setSpawner,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setByeSayer,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setMarketplace,AxieDependency,onlyWhitelistSetter
AxieDependency.sol,AxieDependency,setGeneScientist,AxieDependency,onlyWhitelistSetter
AxieERC721Metadata.sol,AxieERC721Metadata,setTokenURIAffixes,AxieERC721Metadata,onlyCEO
AxieERC721Metadata.sol,AxieERC721Metadata,tokenURI,AxieERC721Metadata,mustBeValidToken
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,ownerOf,AxieERC721BaseEnumerable,mustBeValidToken
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,_transferFrom,AxieERC721BaseEnumerable,mustBeValidToken
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,_transferFrom,AxieERC721BaseEnumerable,onlyTokenAuthorized
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,_transferFrom,AxieERC721BaseEnumerable,whenTransferAllowed
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,approve,AxieERC721BaseEnumerable,mustBeValidToken
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,approve,AxieERC721BaseEnumerable,onlyTokenOwnerOrOperator
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,approve,AxieERC721BaseEnumerable,whenNotPaused
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,setApprovalForAll,AxieERC721BaseEnumerable,whenNotPaused
AxieERC721BaseEnumerable.sol,AxieERC721BaseEnumerable,getApproved,AxieERC721BaseEnumerable,mustBeValidToken
AxieClockAuction.sol,AxieClockAuction,createAuction,AxieClockAuction,whenNotPaused
AxieClockAuction.sol,AxieClockAuction,createAuction,AxieClockAuction,canBeStoredWith128Bits
AxieClockAuction.sol,AxieClockAuction,createAuction,AxieClockAuction,canBeStoredWith128Bits
AxieClockAuction.sol,AxieClockAuction,createAuction,AxieClockAuction,canBeStoredWith64Bits
AxieClockAuction.sol,AxieClockAuction,bid,AxieClockAuction,whenNotPaused
AxieClockAuction.sol,AxieClockAuction,cancelAuctionWhenPaused,AxieClockAuction,whenPaused
AxieClockAuction.sol,AxieClockAuction,cancelAuctionWhenPaused,AxieClockAuction,onlyOwner
AxieClockAuction.sol,AxieClockAuction,_escrow,AxieClockAuction,No chain
AxieClockAuction.sol,AxieClockAuction,_escrow,AxieClockAuction,No chain
AxieClockAuction.sol,AxieClockAuction,_transfer,AxieClockAuction,No chain
AxieClockAuction.sol,AxieClockAuction,_transfer,AxieClockAuction,No chain
AxiePresale.sol,AxiePresale,adoptAxies,AxiePresale,whenNotPaused
AxiePresale.sol,AxiePresale,redeemAdoptedAxies,AxiePresale,onlyOwner
AxiePresale.sol,AxiePresale,redeemRewardedAxies,AxiePresale,onlyOwner
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,onlyOwner
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,No chain
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,No chain
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,No chain
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,No chain
AxieRedemptionInternal.sol,AxieRedemptionInternal,reclaimEther,AxieRedemptionInternal,No chain
AxieRedemptionInternal.sol,AxieRedemptionInternal,setCoreContract,AxieRedemptionInternal,onlyOwner
AxieRedemptionInternal.sol,AxieRedemptionInternal,setPresaleContract,AxieRedemptionInternal,onlyOwner
AxieRedemptionInternal.sol,AxieRedemptionInternal,redeemAdoptedAxies,AxieRedemptionInternal,requireDependencyContracts
