File,Source_Contract,Source_Function,Target_Contract,Chain
Comptroller.sol,Comptroller,addToMarketInternal,Comptroller,MarketEntered
Comptroller.sol,Comptroller,exitMarket,Comptroller,MarketExited
Comptroller.sol,Comptroller,_setPriceOracle,Comptroller,NewPriceOracle
Comptroller.sol,Comptroller,_setCloseFactor,Comptroller,NewCloseFactor
Comptroller.sol,Comptroller,_setCollateralFactor,Comptroller,NewCollateralFactor
Comptroller.sol,Comptroller,_setLiquidationIncentive,Comptroller,NewLiquidationIncentive
Comptroller.sol,Comptroller,_supportMarket,Comptroller,MarketListed
Comptroller.sol,Comptroller,_setMarketBorrowCaps,Comptroller,NewBorrowCap
Comptroller.sol,Comptroller,_setBorrowCapGuardian,Comptroller,NewBorrowCapGuardian
Comptroller.sol,Comptroller,_setPauseGuardian,Comptroller,NewPauseGuardian
Comptroller.sol,Comptroller,_setMintPaused,Comptroller,ActionPaused
Comptroller.sol,Comptroller,_setBorrowPaused,Comptroller,ActionPaused
Comptroller.sol,Comptroller,_setTransferPaused,Comptroller,ActionPaused
Comptroller.sol,Comptroller,_setSeizePaused,Comptroller,ActionPaused
Comptroller.sol,Comptroller,fixBadAccruals,Comptroller,No chain
Comptroller.sol,Comptroller,fixBadAccruals,Comptroller,No chain
Comptroller.sol,Comptroller,fixBadAccruals,Comptroller,CompReceivableUpdated
Comptroller.sol,Comptroller,fixBadAccruals,Comptroller,CompAccruedAdjusted
Comptroller.sol,Comptroller,setCompSpeedInternal,Comptroller,CompSupplySpeedUpdated
Comptroller.sol,Comptroller,setCompSpeedInternal,Comptroller,CompBorrowSpeedUpdated
Comptroller.sol,Comptroller,distributeSupplierComp,Comptroller,DistributedSupplierComp
Comptroller.sol,Comptroller,distributeBorrowerComp,Comptroller,DistributedBorrowerComp
Comptroller.sol,Comptroller,grantCompInternal,Comptroller,No chain
Comptroller.sol,Comptroller,grantCompInternal,Comptroller,No chain
Comptroller.sol,Comptroller,_grantComp,Comptroller,CompGranted
Comptroller.sol,Comptroller,_setCompSpeeds,Comptroller,No chain
Comptroller.sol,Comptroller,_setContributorCompSpeed,Comptroller,ContributorCompSpeedUpdated
CErc20.sol,CErc20,sweepToken,CErc20,No chain
CErc20.sol,CErc20,sweepToken,CErc20,No chain
CErc20.sol,CErc20,sweepToken,CErc20,No chain
CErc20.sol,CErc20,getCashPrior,CErc20,No chain
CErc20.sol,CErc20,getCashPrior,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,doTransferIn,CErc20,No chain
CErc20.sol,CErc20,_delegateCompLikeTo,CompLike,->delegate(compLikeDelegatee)
ComptrollerG7.sol,ComptrollerG7,addToMarketInternal,ComptrollerG7,MarketEntered
ComptrollerG7.sol,ComptrollerG7,exitMarket,ComptrollerG7,MarketExited
ComptrollerG7.sol,ComptrollerG7,_setPriceOracle,ComptrollerG7,NewPriceOracle
ComptrollerG7.sol,ComptrollerG7,_setCloseFactor,ComptrollerG7,NewCloseFactor
ComptrollerG7.sol,ComptrollerG7,_setCollateralFactor,ComptrollerG7,NewCollateralFactor
ComptrollerG7.sol,ComptrollerG7,_setLiquidationIncentive,ComptrollerG7,NewLiquidationIncentive
ComptrollerG7.sol,ComptrollerG7,_supportMarket,ComptrollerG7,MarketListed
ComptrollerG7.sol,ComptrollerG7,_setMarketBorrowCaps,ComptrollerG7,NewBorrowCap
ComptrollerG7.sol,ComptrollerG7,_setBorrowCapGuardian,ComptrollerG7,NewBorrowCapGuardian
ComptrollerG7.sol,ComptrollerG7,_setPauseGuardian,ComptrollerG7,NewPauseGuardian
ComptrollerG7.sol,ComptrollerG7,_setMintPaused,ComptrollerG7,ActionPaused
ComptrollerG7.sol,ComptrollerG7,_setBorrowPaused,ComptrollerG7,ActionPaused
ComptrollerG7.sol,ComptrollerG7,_setTransferPaused,ComptrollerG7,ActionPaused
ComptrollerG7.sol,ComptrollerG7,_setSeizePaused,ComptrollerG7,ActionPaused
ComptrollerG7.sol,ComptrollerG7,setCompSpeedInternal,ComptrollerG7,CompSpeedUpdated
ComptrollerG7.sol,ComptrollerG7,distributeSupplierComp,ComptrollerG7,DistributedSupplierComp
ComptrollerG7.sol,ComptrollerG7,distributeBorrowerComp,ComptrollerG7,DistributedBorrowerComp
ComptrollerG7.sol,ComptrollerG7,grantCompInternal,ComptrollerG7,No chain
ComptrollerG7.sol,ComptrollerG7,grantCompInternal,ComptrollerG7,No chain
ComptrollerG7.sol,ComptrollerG7,_grantComp,ComptrollerG7,CompGranted
ComptrollerG7.sol,ComptrollerG7,_setContributorCompSpeed,ComptrollerG7,ContributorCompSpeedUpdated
CToken.sol,CToken,transferTokens,CToken,No chain
CToken.sol,CToken,transferTokens,CToken,No chain
CToken.sol,CToken,transferTokens,None,Transfer
CToken.sol,CToken,transfer,CToken,nonReentrant
CToken.sol,CToken,transferFrom,CToken,nonReentrant
CToken.sol,CToken,approve,None,Approval
CToken.sol,CToken,totalBorrowsCurrent,CToken,nonReentrant
CToken.sol,CToken,borrowBalanceCurrent,CToken,nonReentrant
CToken.sol,CToken,exchangeRateCurrent,CToken,nonReentrant
CToken.sol,CToken,accrueInterest,None,AccrueInterest
CToken.sol,CToken,mintInternal,CToken,nonReentrant
CToken.sol,CToken,mintFresh,CToken,No chain
CToken.sol,CToken,mintFresh,CToken,No chain
CToken.sol,CToken,mintFresh,None,Mint
CToken.sol,CToken,mintFresh,None,Transfer
CToken.sol,CToken,redeemInternal,CToken,nonReentrant
CToken.sol,CToken,redeemUnderlyingInternal,CToken,nonReentrant
CToken.sol,CToken,redeemFresh,CToken,No chain
CToken.sol,CToken,redeemFresh,CToken,No chain
CToken.sol,CToken,redeemFresh,CToken,No chain
CToken.sol,CToken,redeemFresh,CToken,No chain
CToken.sol,CToken,redeemFresh,None,Transfer
CToken.sol,CToken,redeemFresh,None,Redeem
CToken.sol,CToken,borrowInternal,CToken,nonReentrant
CToken.sol,CToken,borrowFresh,CToken,No chain
CToken.sol,CToken,borrowFresh,CToken,No chain
CToken.sol,CToken,borrowFresh,None,Borrow
CToken.sol,CToken,repayBorrowInternal,CToken,nonReentrant
CToken.sol,CToken,repayBorrowBehalfInternal,CToken,nonReentrant
CToken.sol,CToken,repayBorrowFresh,CToken,No chain
CToken.sol,CToken,repayBorrowFresh,CToken,No chain
CToken.sol,CToken,repayBorrowFresh,None,RepayBorrow
CToken.sol,CToken,liquidateBorrowInternal,CToken,No chain
CToken.sol,CToken,liquidateBorrowInternal,CToken,nonReentrant
CToken.sol,CToken,liquidateBorrowFresh,CToken,No chain
CToken.sol,CToken,liquidateBorrowFresh,CToken,No chain
CToken.sol,CToken,liquidateBorrowFresh,CToken,No chain
CToken.sol,CToken,liquidateBorrowFresh,CToken,No chain
CToken.sol,CToken,liquidateBorrowFresh,CToken,No chain
CToken.sol,CToken,liquidateBorrowFresh,None,LiquidateBorrow
CToken.sol,CToken,seize,CToken,nonReentrant
CToken.sol,CToken,seizeInternal,CToken,No chain
CToken.sol,CToken,seizeInternal,CToken,No chain
CToken.sol,CToken,seizeInternal,None,Transfer
CToken.sol,CToken,seizeInternal,None,Transfer
CToken.sol,CToken,seizeInternal,None,ReservesAdded
CToken.sol,CToken,_setPendingAdmin,None,NewPendingAdmin
CToken.sol,CToken,_acceptAdmin,None,NewAdmin
CToken.sol,CToken,_acceptAdmin,None,NewPendingAdmin
CToken.sol,CToken,_setComptroller,None,NewComptroller
CToken.sol,CToken,_setReserveFactor,CToken,nonReentrant
CToken.sol,CToken,_setReserveFactorFresh,None,NewReserveFactor
CToken.sol,CToken,_addReservesInternal,CToken,nonReentrant
CToken.sol,CToken,_addReservesFresh,None,ReservesAdded
CToken.sol,CToken,_reduceReserves,CToken,nonReentrant
CToken.sol,CToken,_reduceReservesFresh,None,ReservesReduced
CToken.sol,CToken,_setInterestRateModelFresh,None,NewMarketInterestRateModel
CErc20Delegator.sol,CErc20Delegator,_setImplementation,CErc20Delegator,No chain
CErc20Delegator.sol,CErc20Delegator,_setImplementation,None,NewImplementation
CErc20Delegator.sol,CErc20Delegator,delegateToViewImplementation,CErc20Delegator,No chain
CErc20Delegator.sol,CErc20Delegator,delegateToViewImplementation,CErc20Delegator,No chain
CErc20Delegator.sol,CErc20Delegator,delegateToViewImplementation,CErc20Delegator,No chain
CErc20Delegator.sol,CErc20Delegator,,CErc20Delegator,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,_resignImplementation,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,getCashPrior,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,getCashPrior,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
CDaiDelegate.sol,CDaiDelegate,doTransferIn,CDaiDelegate,No chain
ErrorReporter.sol,ComptrollerErrorReporter,fail,ComptrollerErrorReporter,Failure
ErrorReporter.sol,ComptrollerErrorReporter,failOpaque,ComptrollerErrorReporter,Failure
Unitroller.sol,Unitroller,_setPendingImplementation,Unitroller,NewPendingImplementation
Unitroller.sol,Unitroller,_acceptImplementation,Unitroller,NewImplementation
Unitroller.sol,Unitroller,_acceptImplementation,Unitroller,NewPendingImplementation
Unitroller.sol,Unitroller,_setPendingAdmin,Unitroller,NewPendingAdmin
Unitroller.sol,Unitroller,_acceptAdmin,Unitroller,NewAdmin
Unitroller.sol,Unitroller,_acceptAdmin,Unitroller,NewPendingAdmin
JumpRateModel.sol,JumpRateModel,constructor,JumpRateModel,NewInterestParams
Timelock.sol,Timelock,constructor,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,No chain
Timelock.sol,Timelock,setDelay,Timelock,NewDelay
Timelock.sol,Timelock,acceptAdmin,Timelock,No chain
Timelock.sol,Timelock,acceptAdmin,Timelock,NewAdmin
Timelock.sol,Timelock,setPendingAdmin,Timelock,No chain
Timelock.sol,Timelock,setPendingAdmin,Timelock,No chain
Timelock.sol,Timelock,setPendingAdmin,Timelock,No chain
Timelock.sol,Timelock,setPendingAdmin,Timelock,NewPendingAdmin
Timelock.sol,Timelock,queueTransaction,Timelock,No chain
Timelock.sol,Timelock,queueTransaction,Timelock,No chain
Timelock.sol,Timelock,queueTransaction,Timelock,QueueTransaction
Timelock.sol,Timelock,cancelTransaction,Timelock,No chain
Timelock.sol,Timelock,cancelTransaction,Timelock,CancelTransaction
Timelock.sol,Timelock,executeTransaction,Timelock,No chain
Timelock.sol,Timelock,executeTransaction,Timelock,"->"")"
Timelock.sol,Timelock,executeTransaction,Timelock,"->"")"
Timelock.sol,Timelock,executeTransaction,Timelock,No chain
Timelock.sol,Timelock,executeTransaction,Timelock,"->"")"
Timelock.sol,Timelock,executeTransaction,Timelock,ExecuteTransaction
JumpRateModelV2.sol,JumpRateModelV2,constructor,JumpRateModelV2,No Chain
WhitePaperInterestRateModel.sol,WhitePaperInterestRateModel,constructor,WhitePaperInterestRateModel,NewInterestParams
Reservoir.sol,Reservoir,drip,Reservoir,No chain
Reservoir.sol,Reservoir,drip,Reservoir,No chain
CEther.sol,CEther,getCashPrior,CEther,No chain
CEther.sol,CEther,getCashPrior,CEther,No chain
CEther.sol,CEther,getCashPrior,CEther,No chain
DAIInterestRateModelV3.sol,DAIInterestRateModelV3,constructor,DAIInterestRateModelV3,No Chain
DAIInterestRateModelV3.sol,DAIInterestRateModelV3,updateJumpRateModel,DAIInterestRateModelV3,No chain
DAIInterestRateModelV3.sol,DAIInterestRateModelV3,updateJumpRateModel,DAIInterestRateModelV3,No chain
DAIInterestRateModelV3.sol,DAIInterestRateModelV3,updateJumpRateModel,DAIInterestRateModelV3,No chain
DAIInterestRateModelV3.sol,DAIInterestRateModelV3,poke,None,NewInterestParams
SimplePriceOracle.sol,SimplePriceOracle,setUnderlyingPrice,SimplePriceOracle,PricePosted
SimplePriceOracle.sol,SimplePriceOracle,setDirectPrice,SimplePriceOracle,PricePosted
BaseJumpRateModelV2.sol,BaseJumpRateModelV2,updateJumpRateModel,BaseJumpRateModelV2,No chain
BaseJumpRateModelV2.sol,BaseJumpRateModelV2,updateJumpRateModel,BaseJumpRateModelV2,No chain
BaseJumpRateModelV2.sol,BaseJumpRateModelV2,updateJumpRateModel,BaseJumpRateModelV2,No chain
BaseJumpRateModelV2.sol,BaseJumpRateModelV2,updateJumpRateModelInternal,BaseJumpRateModelV2,NewInterestParams
CTokenInterfaces.sol,CErc20Interface,liquidateBorrow,CTokenInterface,No chain
CompoundLens.sol,CompoundLens,getCompSpeeds,ComptrollerLensInterface,No chain
CompoundLens.sol,CompoundLens,cTokenMetadata,ComptrollerLensInterface,->comptroller()))
CompoundLens.sol,CompoundLens,cTokenMetadata,ComptrollerLensInterface,->comptroller()));
CompoundLens.sol,CompoundLens,cTokenUnderlyingPrice,ComptrollerLensInterface,->comptroller()))
CompoundLens.sol,CompoundLens,cTokenUnderlyingPrice,ComptrollerLensInterface,->comptroller()));
CompoundLens.sol,CompoundLens,getAccountLimits,ComptrollerLensInterface,No chain
CompoundLens.sol,CompoundLens,getGovBravoReceipts,GovernorBravoInterface,No chain
CompoundLens.sol,CompoundLens,getGovBravoReceipts,GovernorBravoInterface,"->Receiptmemoryreceipt=governor->getReceipt(proposalIds[i],voter)"
CompoundLens.sol,CompoundLens,setBravoProposal,GovernorBravoInterface,No chain
CompoundLens.sol,CompoundLens,setBravoProposal,GovernorBravoInterface,->Proposalmemoryp=governor->proposals(proposalId)
CompoundLens.sol,CompoundLens,getGovBravoProposals,GovernorBravoInterface,No chain
CompoundLens.sol,CompoundLens,getCompBalanceMetadataExt,ComptrollerLensInterface,No chain
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,propose,None,ProposalCreated
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,queue,None,ProposalQueued
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,execute,None,ProposalExecuted
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,cancel,None,ProposalCanceled
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,castVote,None,VoteCast
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,castVoteWithReason,None,VoteCast
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,castVoteBySig,GovernorBravoDelegate,No chain
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,castVoteBySig,GovernorBravoDelegate,No chain
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,castVoteBySig,None,VoteCast
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,_setVotingDelay,None,VotingDelaySet
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,_setVotingPeriod,None,VotingPeriodSet
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,_setProposalThreshold,None,ProposalThresholdSet
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,_setWhitelistAccountExpiration,None,WhitelistAccountExpirationSet
GovernorBravoDelegateG2.sol,GovernorBravoDelegate,_setWhitelistGuardian,None,WhitelistGuardianSet
