File,Source_Contract,Source_Function,Target_Contract,Chain
proxyAdmin.sol,Address,sendValue,Address,No chain
proxyAdmin.sol,Address,sendValue,Address,No chain
proxyAdmin.sol,Address,functionCallWithValue,Address,No chain
proxyAdmin.sol,Address,functionCallWithValue,Address,No chain
proxyAdmin.sol,ERC1967Upgrade,_getImplementation,StorageSlot,->getAddressSlot(_IMPLEMENTATION_SLOT)->value
proxyAdmin.sol,ERC1967Upgrade,_getImplementation,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_setImplementation,Address,No chain
proxyAdmin.sol,ERC1967Upgrade,_setImplementation,StorageSlot,->getAddressSlot(_IMPLEMENTATION_SLOT)->value=newImplementation
proxyAdmin.sol,ERC1967Upgrade,_setImplementation,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_upgradeTo,ERC1967Upgrade,Upgraded
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCall,Address,"->functionDelegateCall(newImplementation,data)"
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,StorageSlot,->BooleanSlotstoragerollbackTesting=StorageSlot->getBooleanSlot(_ROLLBACK_SLOT)
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,Address,"->functionDelegateCall(newImplementation,abi->encodeWithSignature(""upgradeTo(address)"",oldImplementation))"
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,Address,"->functionDelegateCall(newImplementation,data)"
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,StorageSlot,->getBooleanSlot(_ROLLBACK_SLOT);
proxyAdmin.sol,ERC1967Upgrade,_upgradeToAndCallSecure,Address,"->functionDelegateCall(newImplementation,abi->encodeWithSignature(""upgradeTo(address)"",oldImplementation))"
proxyAdmin.sol,ERC1967Upgrade,_getAdmin,StorageSlot,->getAddressSlot(_ADMIN_SLOT)->value
proxyAdmin.sol,ERC1967Upgrade,_getAdmin,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_setAdmin,StorageSlot,->getAddressSlot(_ADMIN_SLOT)->value=newAdmin
proxyAdmin.sol,ERC1967Upgrade,_setAdmin,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_changeAdmin,ERC1967Upgrade,AdminChanged
proxyAdmin.sol,ERC1967Upgrade,_getBeacon,StorageSlot,->getAddressSlot(_BEACON_SLOT)->value
proxyAdmin.sol,ERC1967Upgrade,_getBeacon,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_setBeacon,Address,No chain
proxyAdmin.sol,ERC1967Upgrade,_setBeacon,Address,No chain
proxyAdmin.sol,ERC1967Upgrade,_setBeacon,Address,No chain
proxyAdmin.sol,ERC1967Upgrade,_setBeacon,StorageSlot,->getAddressSlot(_BEACON_SLOT)->value=newBeacon
proxyAdmin.sol,ERC1967Upgrade,_setBeacon,StorageSlot,No chain
proxyAdmin.sol,ERC1967Upgrade,_upgradeBeaconToAndCall,ERC1967Upgrade,BeaconUpgraded
proxyAdmin.sol,ERC1967Upgrade,_upgradeBeaconToAndCall,Address,"->functionDelegateCall(IBeacon(newBeacon)->implementation(),data)"
proxyAdmin.sol,ERC1967Upgrade,_upgradeBeaconToAndCall,Address,No chain
