File,Source_Contract,Source_Function,Target_Contract,Chain
Verifier.sol,Verifier,verify,Pairing,"->G1Pointmemoryvk_x=Pairing->G1Point(0,0)"
Verifier.sol,Verifier,verify,Pairing,No chain
Verifier.sol,Verifier,verify,Pairing,"->addition(vk_x,Pairing->scalar_mul(vk->IC[i+1],input[i]))"
Verifier.sol,Verifier,verify,Pairing,No chain
Verifier.sol,Verifier,verify,Pairing,"->addition(vk_x,vk->IC[0])"
Verifier.sol,Verifier,verify,Pairing,"->G1Point(0,0);"
Verifier.sol,Verifier,verify,Pairing,"->pairingProd4(Pairing->negate(proof->A),proof->B,vk->alfa1,vk->beta2,vk_x,vk->gamma2,proof->C,vk->delta2)"
Verifier.sol,Verifier,verify,Pairing,No chain
Verifier.sol,Verifier,verifyProof,Pairing,"->A=Pairing->G1Point(a[0],a[1])"
Verifier.sol,Verifier,verifyProof,Pairing,"->B=Pairing->G2Point([b[0][0],b[0][1]],[b[1][0],b[1][1]])"
Verifier.sol,Verifier,verifyProof,Pairing,"->C=Pairing->G1Point(c[0],c[1])"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->alfa1=Pairing->G1Point(19642524115522290447760970021746675789341356000653265441069630957431566301675,15809037446102219312954435152879098683824559980020626143453387822004586242317)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->beta2=Pairing->G2Point([6402738102853475583969787773506197858266321704623454181848954418090577674938,3306678135584565297353192801602995509515651571902196852074598261262327790404],[15158588411628049902562758796812667714664232742372443470614751812018801551665,4983765881427969364617654516554524254158908221590807345159959200407712579883])"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->gamma2=Pairing->G2Point([11559732032986387107991004021392285783925812861821192530917403151452391805634,10857046999023057135944570762232829481370756359578518086990519993285655852781],[4082367875863433681332203403145435568316851327593401208105741076214120093531,8495653923123431417604973247489272438418190587263600148770280649306958101930])"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->delta2=Pairing->G2Point([14854170488802329919894816340205521555277266612840771752946805762587272512775,7562655065112325066468321826060607712012450785218005273666303195841270768744],[4174548830687335069945701300213647521130540243497746785422711667615568489178,5608043401397217772312397009473511147026524434002367118511879223448099563691])"
Verifier.sol,Verifier,initVerifyingKey,Pairing,->IC=newPairing->G1Point[](9)
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[0]=Pairing->G1Point(1598626181488966834385142702072340632701729613588553898141479831063364046244,17718230806281540722028825298558518558905695159801697318226319873036301566727)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[1]=Pairing->G1Point(15948659782990752942887133907536447435191600109534617758082114399428869442993,11099101392431127819059666871299914860584228203768799086923186847076507315534)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[2]=Pairing->G1Point(13186007044390084081960383089914876934734527345381844648722866901270835430043,12363602961009028954516007109103956695133402002489551690760572271217053348325)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[3]=Pairing->G1Point(19033951188675203289309544100203877456200968413799602644605085592542868603150,4102643274799727974772046308975344678795771407725941358248723363344896703834)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[4]=Pairing->G1Point(12334287564680926687012264573398090483137523358397833233474322750256715605363,21152252948357751342019470982759350534775883984606520773786839787341259892071)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[5]=Pairing->G1Point(7267767678980834682497060995607083951430815719518946230330975730812172227169,10805676519882027813209103871655027576122630931197256609570718268993985006376)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[6]=Pairing->G1Point(756398625131320539711001637394523340428095665700281242919581685489287926359,1432850884206501416882319922791827723541173896617346816668465291785770862113)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[7]=Pairing->G1Point(16222995936446875092505443491296436794133479486403641167081751292555012163485,1455297279126108200908824339804743093067568793093720522966758475516874759095)"
Verifier.sol,Verifier,initVerifyingKey,Pairing,"->IC[8]=Pairing->G1Point(8068157216405939054553967344367105009755284398919359918024675691332040416938,4244594119739321487311315399210137890665530536229170011371323025231638521760)"
Verifier.sol,Verifier,moveVerifyingKey,Pairing,"->alfa1=Pairing->G1Point(19642524115522290447760970021746675789341356000653265441069630957431566301675,15809037446102219312954435152879098683824559980020626143453387822004586242317)"
Verifier.sol,Verifier,moveVerifyingKey,Pairing,"->beta2=Pairing->G2Point([6402738102853475583969787773506197858266321704623454181848954418090577674938,3306678135584565297353192801602995509515651571902196852074598261262327790404],[15158588411628049902562758796812667714664232742372443470614751812018801551665,4983765881427969364617654516554524254158908221590807345159959200407712579883])"
