File,Source_Contract,Source_Function,Target_Contract,Chain
LockManager.sol,LockManager,lock,LockManager,onlyOwner
LockManager.sol,LockManager,slash,LockManager,onlyOwner
LockManager.sol,LockManager,slash,LockManager,onlyWithSlashing
LockManager.sol,LockManager,slashAndUnstake,LockManager,onlyOwner
LockManager.sol,LockManager,slashAndUnstake,LockManager,onlyWithSlashing
LockManager.sol,LockManager,unlock,LockManager,No chain
LockManager.sol,LockManager,unlock,LockManager,No chain
LockManager.sol,LockManager,unlock,LockManager,onlyOwner
LockManager.sol,LockManager,unlockAndRemoveManager,LockManager,No chain
LockManager.sol,LockManager,unlockAndRemoveManager,LockManager,No chain
LockManager.sol,LockManager,unlockAndRemoveManager,LockManager,onlyOwner
LockManager.sol,LockManager,canUnlock,LockManager,onlyOwner
LockManager.sol,LockManager,unlockAndRemoveManager,LockManager,onlyOwner
StakingFactory.sol,StakingFactory,_createInstance,StakingFactory,NewStaking
Staking.sol,Staking,decreaseLockAllowance,None,LockAllowanceChanged
Staking.sol,Staking,lock,None,LockAmountChanged
Staking.sol,Staking,unlockAndRemoveManager,None,LockAmountChanged
Staking.sol,Staking,unlockAndRemoveManager,None,LockManagerRemoved
Staking.sol,Staking,_stakeFor,Staking,No chain
Staking.sol,Staking,_stakeFor,Staking,No chain
Staking.sol,Staking,_stakeFor,None,Staked
Staking.sol,Staking,_unstake,None,Unstaked
Staking.sol,Staking,_allowManager,None,NewLockManager
Staking.sol,Staking,_increaseLockAllowance,None,LockAllowanceChanged
Staking.sol,Staking,_unlockUnsafe,None,LockAmountChanged
Staking.sol,Staking,_transfer,Staking,StakeTransferred
Staking.sol,Staking,_transferAndUnstake,None,Unstaked
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
StakingMock.sol,StakingMock,constructor,StakingMock,No Chain
LockManagerMock.sol,LockManagerMock,unlock,LockManagerMock,No chain
LockManagerMock.sol,LockManagerMock,unlock,LockManagerMock,No chain
LockManagerMock.sol,LockManagerMock,unlockAndRemoveManager,LockManagerMock,No chain
LockManagerMock.sol,LockManagerMock,unlockAndRemoveManager,LockManagerMock,No chain
NoApproveTokenMock.sol,NoApproveTokenMock,transfer,None,Transfer
NoApproveTokenMock.sol,NoApproveTokenMock,approve,None,Approval
NoApproveTokenMock.sol,NoApproveTokenMock,transferFrom,None,Transfer
NoApproveTokenMock.sol,NoApproveTokenMock,increaseApproval,None,Approval
NoApproveTokenMock.sol,NoApproveTokenMock,decreaseApproval,None,Approval
NoApproveTokenMock.sol,NoApproveTokenMock,_mint,None,Transfer
NoApproveTokenMock.sol,NoApproveTokenMock,_burn,None,Transfer
StandardTokenMock.sol,StandardTokenMock,transfer,None,Transfer
StandardTokenMock.sol,StandardTokenMock,approve,None,Approval
StandardTokenMock.sol,StandardTokenMock,transferFrom,None,Transfer
StandardTokenMock.sol,StandardTokenMock,increaseApproval,None,Approval
StandardTokenMock.sol,StandardTokenMock,decreaseApproval,None,Approval
StandardTokenMock.sol,StandardTokenMock,_mint,None,Transfer
StandardTokenMock.sol,StandardTokenMock,_burn,None,Transfer
BadTokenMock.sol,BadTokenMock,transfer,None,Transfer
BadTokenMock.sol,BadTokenMock,approve,None,Approval
BadTokenMock.sol,BadTokenMock,transferFrom,None,Transfer
BadTokenMock.sol,BadTokenMock,increaseApproval,None,Approval
BadTokenMock.sol,BadTokenMock,decreaseApproval,None,Approval
BadTokenMock.sol,BadTokenMock,_mint,None,Transfer
BadTokenMock.sol,BadTokenMock,_burn,None,Transfer
MiniMeToken.sol,Controlled,changeController,Controlled,onlyController
MiniMeToken.sol,MiniMeToken,constructor,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,doTransfer,None,Transfer
MiniMeToken.sol,MiniMeToken,approve,None,Approval
MiniMeToken.sol,MiniMeToken,approveAndCall,ApproveAndCallFallBack,No chain
MiniMeToken.sol,MiniMeToken,approveAndCall,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,approveAndCall,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,approveAndCall,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,createCloneToken,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,createCloneToken,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,createCloneToken,None,NewCloneToken
MiniMeToken.sol,MiniMeToken,generateTokens,Controlled,onlyController
MiniMeToken.sol,MiniMeToken,generateTokens,None,Transfer
MiniMeToken.sol,MiniMeToken,destroyTokens,Controlled,onlyController
MiniMeToken.sol,MiniMeToken,destroyTokens,None,Transfer
MiniMeToken.sol,MiniMeToken,enableTransfers,Controlled,onlyController
MiniMeToken.sol,MiniMeToken,claimTokens,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,claimTokens,MiniMeToken,No chain
MiniMeToken.sol,MiniMeToken,claimTokens,Controlled,onlyController
MiniMeToken.sol,MiniMeToken,claimTokens,MiniMeToken,No chain
