File,Source_Contract,Source_Function,Target_Contract,Chain
DummyToken.sol,DummyToken,constructor,DummyToken,No Chain
LRCToken.sol,BasicToken,transfer,ERC20Basic,Transfer
LRCToken.sol,StandardToken,transferFrom,ERC20Basic,Transfer
LRCToken.sol,StandardToken,approve,AbsERC20,Approval
LRCToken.sol,StandardToken,increaseApproval,AbsERC20,Approval
LRCToken.sol,StandardToken,decreaseApproval,AbsERC20,Approval
LRCToken.sol,LRCToken,burn,LRCToken,Burn
LRCToken.sol,LRCToken,burn,ERC20Basic,Transfer
LRCToken.sol,LRCToken,burnFrom,LRCToken,Burn
LRCToken.sol,LRCToken,burnFrom,ERC20Basic,Transfer
TestTargetContract.sol,TestTargetContract,functionDefault,TestTargetContract,Invoked
TestTargetContract.sol,TestTargetContract,functionPayable,TestTargetContract,Invoked
INDA.sol,INDA,constructor,INDA,No Chain
INDB.sol,INDB,constructor,INDB,No Chain
RDN.sol,RDN,constructor,RDN,No Chain
USDT.sol,USDT,constructor,USDT,No Chain
LRC.sol,LRC,constructor,LRC,No Chain
GTO.sol,GTO,constructor,GTO,No Chain
WETH.sol,WETH,constructor,WETH,No Chain
REP.sol,REP,constructor,REP,No Chain
KyberNetworkPriceOracle.sol,KyberNetworkPriceOracle,constructor,KyberNetworkProxy,No chain
CachedPriceOracle.sol,CachedPriceOracle,setTokenPrice,CachedPriceOracle,onlyManager
CachedPriceOracle.sol,CachedPriceOracle,setOracle,CachedPriceOracle,onlyManager
CachedPriceOracle.sol,CachedPriceOracle,_cacheTokenPrice,CachedPriceOracle,PriceCached
Claimable.sol,Claimable,transferOwnership,Claimable,onlyOwner
Claimable.sol,Claimable,claimOwnership,Claimable,onlyPendingOwner
Claimable.sol,Claimable,claimOwnership,None,OwnershipTransferred
OwnerManagable.sol,OwnerManagable,constructor,OwnerManagable,No Chain
OwnerManagable.sol,OwnerManagable,addManager,OwnerManagable,onlyOwner
OwnerManagable.sol,OwnerManagable,removeManager,OwnerManagable,onlyOwner
OwnerManagable.sol,OwnerManagable,removeManager,OwnerManagable,ManagerRemoved
OwnerManagable.sol,OwnerManagable,addManagerInternal,OwnerManagable,ManagerAdded
Ownable.sol,Ownable,transferOwnership,Ownable,onlyOwner
Ownable.sol,Ownable,transferOwnership,Ownable,OwnershipTransferred
Ownable.sol,Ownable,renounceOwnership,Ownable,onlyOwner
Ownable.sol,Ownable,renounceOwnership,Ownable,OwnershipTransferred
DelayTargetSelectorBasedAccessManager.sol,DelayTargetSelectorBasedAccessManager,grantAccess,DelayTargetSelectorBasedAccessManager,onlyOwner
DelayTargetSelectorBasedAccessManager.sol,DelayTargetSelectorBasedAccessManager,grantAccess,DelayTargetSelectorBasedAccessManager,PermissionUpdate
DelayTargetSelectorBasedAccessManager.sol,DelayTargetSelectorBasedAccessManager,setTarget,DelayTargetSelectorBasedAccessManager,onlyOwner
DelayTargetSelectorBasedAccessManager.sol,DelayTargetSelectorBasedAccessManager,transact,DelayTargetSelectorBasedAccessManager,withAccess
Drainable.sol,Drainable,drain,Drainable,No chain
Drainable.sol,Drainable,drain,Drainable,No chain
Drainable.sol,Drainable,drain,Drainable,No chain
Drainable.sol,Drainable,drain,Drainable,No chain
Drainable.sol,Drainable,drain,Drainable,Drained
EIP712.sol,EIP712,hash,EIP712,"->encode(EIP712_DOMAIN_TYPEHASH,keccak256(bytes(domain->name)),keccak256(bytes(domain->version)),_chainid,domain->verifyingContract))"
LoopringCreate2Deployer.sol,LoopringCreate2Deployer,deploy,LoopringCreate2Deployer,Deployed
SafeERC20.sol,SafeERC20,safeApprove,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeApprove,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeIncreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeIncreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeIncreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeDecreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeDecreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,safeDecreaseAllowance,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
SafeERC20.sol,SafeERC20,_callOptionalReturn,SafeERC20,No chain
Address.sol,Address,sendValue,Address,No chain
Address.sol,Address,sendValue,Address,No chain
MockContract.sol,MockContract,updateInvocationCount,MockContract,No chain
MockContract.sol,MockContract,updateInvocationCount,MockContract,No chain
MockContract.sol,MockContract,_fallback,MockContract,No chain
MockContract.sol,MockContract,_fallback,MockContract,No chain
MockContract.sol,MockContract,_fallback,MockContract,No chain
MockContract.sol,MockContract,_fallback,MockContract,No chain
ERC721Holder.sol,ERC721Holder,onERC721Received,ERC721Holder,No chain
ERC721Holder.sol,ERC721Holder,onERC721Received,ERC721Holder,No chain
ERC721Holder.sol,ERC721Holder,onERC721Received,ERC721Holder,No chain
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,transferProxyOwnership,OwnedUpgradeabilityProxy,onlyProxyOwner
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,transferProxyOwnership,OwnedUpgradeabilityProxy,ProxyOwnershipTransferred
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,upgradeTo,OwnedUpgradeabilityProxy,onlyProxyOwner
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,upgradeToAndCall,OwnedUpgradeabilityProxy,No chain
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,upgradeToAndCall,OwnedUpgradeabilityProxy,No chain
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,upgradeToAndCall,OwnedUpgradeabilityProxy,No chain
OwnedUpgradeabilityProxy.sol,OwnedUpgradeabilityProxy,upgradeToAndCall,OwnedUpgradeabilityProxy,onlyProxyOwner
