File,Source_Contract,Source_Function,Target_Contract,Chain
MarbleMetatransactions.sol,MarbleMetatransactions,setTrustedForwarder,MarbleMetatransactions,onlyOwner
MarbleMetatransactions.sol,MarbleMetatransactions,transferNft,MarbleMetatransactions,No chain
MarbleMetatransactions.sol,MarbleMetatransactions,transferNft,MarbleMetatransactions,No chain
MarbleMetatransactions.sol,MarbleMetatransactions,transferNft,MarbleMetatransactions,No chain
MarbleMetatransactions.sol,MarbleMetatransactions,setMarbleFactoryContract,MarbleMetatransactions,onlyOwner
Ownable.sol,Ownable,constructor,Ownable,OwnershipTransferred
Ownable.sol,Ownable,renounceOwnership,Ownable,onlyOwner
Ownable.sol,Ownable,renounceOwnership,Ownable,OwnershipTransferred
Ownable.sol,Ownable,transferOwnership,Ownable,onlyOwner
Ownable.sol,Ownable,transferOwnership,Ownable,OwnershipTransferred
MarbleMetatransactionsInterface.sol,MarbleMetatransactionsInterface,setMarbleFactoryContract,MarbleNFT,No chain
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
MarbleCoinMatic.sol,Roles,add,Roles,No chain
MarbleCoinMatic.sol,Roles,remove,Roles,No chain
MarbleCoinMatic.sol,Roles,has,Roles,No chain
MarbleCoinMatic.sol,AdministratorRole,addAdministrator,AdministratorRole,onlyAdministrator
MarbleCoinMatic.sol,AdministratorRole,_addAdministrator,AdministratorRole,AdministratorAdded
MarbleCoinMatic.sol,AdministratorRole,_removeAdministrator,AdministratorRole,AdministratorRemoved
MarbleCoinMatic.sol,ERC20,_transfer,IERC20,Transfer
MarbleCoinMatic.sol,ERC20,_mint,IERC20,Transfer
MarbleCoinMatic.sol,ERC20,_burn,IERC20,Transfer
MarbleCoinMatic.sol,ERC20,_approve,IERC20,Approval
MarbleCoinMatic.sol,Ownable,constructor,Ownable,OwnershipTransferred
MarbleCoinMatic.sol,Ownable,renounceOwnership,Ownable,onlyOwner
MarbleCoinMatic.sol,Ownable,renounceOwnership,Ownable,OwnershipTransferred
MarbleCoinMatic.sol,Ownable,transferOwnership,Ownable,onlyOwner
MarbleCoinMatic.sol,Ownable,_transferOwnership,Ownable,OwnershipTransferred
MarbleCoinMatic.sol,MarbleCoinMatic,constructor,ERC20Detailed,No Chain
MarbleCoinMatic.sol,MarbleCoinMatic,updateChildChainManager,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoinMatic.sol,MarbleCoinMatic,addAdministrator,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoinMatic.sol,MarbleCoinMatic,removeAdministrator,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoinMatic.sol,MarbleCoinMatic,renounceOwnership,Ownable,onlyOwner
MarbleCoinMatic.sol,MarbleCoinMatic,pause,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoinMatic.sol,MarbleCoinMatic,pause,MarbleCoinMatic,whenNotPaused
MarbleCoinMatic.sol,MarbleCoinMatic,unpause,Ownable,onlyOwner
MarbleCoinMatic.sol,MarbleCoinMatic,unpause,MarbleCoinMatic,whenPaused
MarbleCoinMatic.sol,MarbleCoinMatic,transfer,MarbleCoinMatic,whenNotPaused
MarbleCoinMatic.sol,MarbleCoinMatic,transferFrom,MarbleCoinMatic,whenNotPaused
MarbleCoinMatic.sol,MarbleCoinMatic,mint,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoinMatic.sol,MarbleCoinMatic,mint,MarbleCoinMatic,whenNotPaused
MarbleCoinMatic.sol,MarbleCoinMatic,freezeMint,MarbleCoinMatic,onlyAdministratorOrOwner
MarbleCoin.sol,Roles,add,Roles,No chain
MarbleCoin.sol,Roles,remove,Roles,No chain
MarbleCoin.sol,Roles,has,Roles,No chain
MarbleCoin.sol,AdministratorRole,addAdministrator,AdministratorRole,onlyAdministrator
MarbleCoin.sol,AdministratorRole,_addAdministrator,AdministratorRole,AdministratorAdded
MarbleCoin.sol,AdministratorRole,_removeAdministrator,AdministratorRole,AdministratorRemoved
MarbleCoin.sol,ERC20,_transfer,IERC20,Transfer
MarbleCoin.sol,ERC20,_mint,IERC20,Transfer
MarbleCoin.sol,ERC20,_burn,IERC20,Transfer
MarbleCoin.sol,ERC20,_approve,IERC20,Approval
MarbleCoin.sol,Ownable,constructor,Ownable,OwnershipTransferred
MarbleCoin.sol,Ownable,renounceOwnership,Ownable,onlyOwner
MarbleCoin.sol,Ownable,renounceOwnership,Ownable,OwnershipTransferred
MarbleCoin.sol,Ownable,transferOwnership,Ownable,onlyOwner
MarbleCoin.sol,Ownable,_transferOwnership,Ownable,OwnershipTransferred
MarbleCoin.sol,MarbleCoin,constructor,ERC20Detailed,No Chain
MarbleCoin.sol,MarbleCoin,addAdministrator,MarbleCoin,onlyAdministratorOrOwner
MarbleCoin.sol,MarbleCoin,removeAdministrator,MarbleCoin,onlyAdministratorOrOwner
MarbleCoin.sol,MarbleCoin,renounceOwnership,Ownable,onlyOwner
MarbleCoin.sol,MarbleCoin,pause,MarbleCoin,onlyAdministratorOrOwner
MarbleCoin.sol,MarbleCoin,pause,MarbleCoin,whenNotPaused
MarbleCoin.sol,MarbleCoin,unpause,Ownable,onlyOwner
MarbleCoin.sol,MarbleCoin,unpause,MarbleCoin,whenPaused
MarbleCoin.sol,MarbleCoin,transfer,MarbleCoin,whenNotPaused
MarbleCoin.sol,MarbleCoin,transferFrom,MarbleCoin,whenNotPaused
MarbleCoin.sol,MarbleCoin,mint,MarbleCoin,onlyAdministratorOrOwner
MarbleCoin.sol,MarbleCoin,mint,MarbleCoin,whenNotPaused
MarbleCoin.sol,MarbleCoin,freezeMint,MarbleCoin,onlyAdministratorOrOwner
MarbleNFT.sol,MarbleNFT,mint,MarbleNFT,onlyAdmin
MarbleNFT.sol,MarbleNFT,burn,MarbleNFT,onlyAdmin
MarbleNFT.sol,MarbleNFT,forceApproval,MarbleNFT,onlyAdmin
MarbleNFT.sol,MarbleNFT,forceApproval,IERC20,Approval
Pausable.sol,Pausable,pause,Pausable,onlyOwner
Pausable.sol,Pausable,pause,Pausable,whenNotPaused
Pausable.sol,Pausable,pause,Pausable,Pause
Pausable.sol,Pausable,unpause,Pausable,onlyOwner
Pausable.sol,Pausable,unpause,Pausable,whenPaused
Pausable.sol,Pausable,unpause,Pausable,Unpause
MarbleDutchAuction.sol,MarbleDutchAuction,_createAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,_createAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,_createAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,_createAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,_createAuction,MarbleDutchAuction,whenNotPaused
MarbleDutchAuction.sol,MarbleDutchAuction,setAuctioneerCut,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,setAuctioneerCut,MarbleDutchAuction,AuctioneerCutChanged
MarbleDutchAuction.sol,MarbleDutchAuction,setAuctioneerDelayedCancelCut,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,setAuctioneerDelayedCancelCut,MarbleDutchAuction,AuctioneerDelayedCancelCutChanged
MarbleDutchAuction.sol,MarbleDutchAuction,setNFTContract,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,createMintingAuction,MarbleDutchAuction,whenNotPaused
MarbleDutchAuction.sol,MarbleDutchAuction,createMintingAuction,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,createAuction,MarbleDutchAuction,whenNotPaused
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,bid,MarbleDutchAuction,whenNotPaused
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuction,MarbleDutchAuction,No chain
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuction,MarbleDutchAuction,whenNotPaused
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuctionWhenPaused,MarbleDutchAuction,whenPaused
MarbleDutchAuction.sol,MarbleDutchAuction,cancelAuctionWhenPaused,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,removeAuction,MarbleDutchAuction,whenPaused
MarbleDutchAuction.sol,MarbleDutchAuction,removeAuction,MarbleDutchAuction,onlyAdmin
MarbleDutchAuction.sol,MarbleDutchAuction,removeAuction,MarbleDutchAuction,AuctionRemoved
DutchAuctionBase.sol,DutchAuctionBase,_addAuction,DutchAuctionBase,AuctionCreated
DutchAuctionBase.sol,DutchAuctionBase,_cancelAuction,DutchAuctionBase,No chain
DutchAuctionBase.sol,DutchAuctionBase,_cancelAuction,DutchAuctionBase,No chain
DutchAuctionBase.sol,DutchAuctionBase,_cancelAuction,DutchAuctionBase,AuctionCancelled
DutchAuctionBase.sol,DutchAuctionBase,_bid,DutchAuctionBase,AuctionSuccessful
Migrations.sol,Migrations,setCompleted,Migrations,restricted
Migrations.sol,Migrations,upgrade,Migrations,restricted
MarbleNFTFactory.sol,MarbleNFTFactory,_mint,MarbleNFTFactory,No chain
MarbleNFTFactory.sol,MarbleNFTFactory,_mint,MarbleNFTFactory,No chain
