File,Source_Contract,Source_Function,Target_Contract,Chain
MasterMock.sol,MasterMock,callChangeMaster,MasterMock,No chain
MasterMock.sol,MasterMock,callChangeMaster,MasterMock,No chain
MasterMock.sol,MasterMock,delegateCallBack,MasterMock,unused
MasterMock.sol,MasterMock,masterInitialized,MasterMock,unused
MasterMock.sol,MasterMock,updatePauseTime,MasterMock,unused
TokenControllerMock.sol,TokenControllerMock,mint,TokenControllerMock,onlyInternal
TokenControllerMock.sol,TokenControllerMock,burnFrom,TokenControllerMock,onlyInternal
TokenControllerMock.sol,TokenControllerMock,addToWhitelist,TokenControllerMock,onlyInternal
TokenControllerMock.sol,TokenControllerMock,removeFromWhitelist,TokenControllerMock,onlyInternal
TokenControllerMock.sol,TokenControllerMock,cover,ICover,->CO)])
TokenControllerMock.sol,TokenControllerMock,operatorTransfer,TokenControllerMock,onlyInternal
TokenControllerMock.sol,TokenControllerMock,mintStakingPoolNXMRewards,TokenControllerMock,No chain
TokenControllerMock.sol,TokenControllerMock,mintStakingPoolNXMRewards,TokenControllerMock,No chain
TokenControllerMock.sol,TokenControllerMock,transferStakingPoolsOwnership,TokenControllerMock,TransferStakingPoolsOwnershipCalledWith
TokenControllerMock.sol,TokenControllerMock,burnLockedTokens,TokenControllerMock,unused
TokenControllerMock.sol,TokenControllerMock,releaseLockedTokens,TokenControllerMock,unused
TestnetClaimProofs.sol,TestnetClaimProofs,addMockProof,None,ProofAdded
TestnetNXMaster.sol,TestnetNXMaster,switchGovernanceAddress,TestnetNXMaster,onlyGovernanceOwner
TestnetQuotationData.sol,TestnetQuotationData,constructor,TestnetQuotationData,No Chain
TestnetQuotationData.sol,TestnetQuotationData,addV1Cover,None,CoverDetailsEvent
DisposableGateway.sol,DisposableGateway,constructor,DisposableGateway,No Chain
DisposableMemberRoles.sol,DisposableMemberRoles,constructor,DisposableMemberRoles,No Chain
DisposableNXMaster.sol,DisposableNXMaster,switchGovernanceAddress,DisposableNXMaster,No chain
DisposableNXMaster.sol,DisposableNXMaster,switchGovernanceAddress,DisposableNXMaster,No chain
DisposablePooledStaking.sol,DisposablePooledStaking,initialize,DisposablePooledStaking,No chain
DisposablePooledStaking.sol,DisposablePooledStaking,initialize,DisposablePooledStaking,No chain
DisposablePooledStaking.sol,DisposablePooledStaking,constructor,DisposablePooledStaking,No Chain
DisposableTokenController.sol,DisposableTokenController,constructor,DisposableTokenController,No Chain
DisposableTokenController.sol,DisposableTokenController,initialize,DisposableTokenController,No chain
DisposableTokenController.sol,DisposableTokenController,initialize,DisposableTokenController,No chain
DisposableTokenController.sol,DisposableTokenController,initialize,DisposableTokenController,No chain
