File,Source_Contract,Source_Function,Target_Contract,Chain
CTFExchange.sol,CTFExchange,constructor,CTFExchange,No Chain
CTFExchange.sol,CTFExchange,pauseTrading,CTFExchange,onlyAdmin
CTFExchange.sol,CTFExchange,unpauseTrading,CTFExchange,onlyAdmin
CTFExchange.sol,CTFExchange,fillOrder,CTFExchange,nonReentrant
CTFExchange.sol,CTFExchange,fillOrder,CTFExchange,onlyOperator
CTFExchange.sol,CTFExchange,fillOrder,CTFExchange,notPaused
CTFExchange.sol,CTFExchange,fillOrders,CTFExchange,nonReentrant
CTFExchange.sol,CTFExchange,fillOrders,CTFExchange,onlyOperator
CTFExchange.sol,CTFExchange,fillOrders,CTFExchange,notPaused
CTFExchange.sol,CTFExchange,matchOrders,CTFExchange,nonReentrant
CTFExchange.sol,CTFExchange,matchOrders,CTFExchange,onlyOperator
CTFExchange.sol,CTFExchange,matchOrders,CTFExchange,notPaused
CTFExchange.sol,CTFExchange,setProxyFactory,CTFExchange,onlyAdmin
CTFExchange.sol,CTFExchange,setSafeFactory,CTFExchange,onlyAdmin
CTFExchange.sol,CTFExchange,registerToken,CTFExchange,onlyAdmin
CTFExchange.t.sol,CTFExchangeTest,testAuth,None,NewAdmin
CTFExchange.t.sol,CTFExchangeTest,testAuth,None,NewOperator
CTFExchange.t.sol,CTFExchangeTest,testAuthRemoveAdmin,None,RemovedAdmin
CTFExchange.t.sol,CTFExchangeTest,testAuthRemoveAdmin,None,RemovedOperator
CTFExchange.t.sol,CTFExchangeTest,testPause,None,TradingPaused
CTFExchange.t.sol,CTFExchangeTest,testPause,None,TradingUnpaused
CTFExchange.t.sol,CTFExchangeTest,testPause,None,OrderFilled
CTFExchange.t.sol,CTFExchangeTest,testRegisterToken,None,TokenRegistered
CTFExchange.t.sol,CTFExchangeTest,testRegisterToken,None,TokenRegistered
CTFExchange.t.sol,CTFExchangeTest,testFillOrder,None,OrderFilled
CTFExchange.t.sol,CTFExchangeTest,testFillOrderWithFees,None,OrderFilled
CTFExchange.t.sol,CTFExchangeTest,testFuzzFillOrderWithFees,None,OrderFilled
CTFExchange.t.sol,CTFExchangeTest,testFillOrderNonTaker,None,OrderFilled
CTFExchange.t.sol,CTFExchangeTest,testFillOrders,None,OrderFilled
